time_us,aligned_input_v,captured_output_v
9.940000000000000568e+01,-1.978967576722902577e-01,-2.003169999999999951e-01
9.940800000000000125e+01,-1.979182673755514876e-01,-1.992190000000000072e-01
9.941599999999999682e+01,-1.976883801921056893e-01,-2.003169999999999951e-01
9.942400000000000659e+01,-1.972049545794765935e-01,-1.992190000000000072e-01
9.943200000000000216e+01,-1.964663078513204653e-01,-1.975099999999999911e-01
9.943999999999999773e+01,-1.954712193419847477e-01,-1.962889999999999913e-01
9.944800000000000750e+01,-1.942189327279625344e-01,-1.965330000000000132e-01
9.945600000000000307e+01,-1.927091575019206360e-01,-1.955570000000000086e-01
9.946399999999999864e+01,-1.909420695966697890e-01,-1.939700000000000035e-01
9.947199999999999420e+01,-1.889183111578944529e-01,-1.898189999999999877e-01
9.948000000000000398e+01,-1.866389894661162618e-01,-1.865229999999999944e-01
9.948799999999999955e+01,-1.841056750097632144e-01,-1.856690000000000007e-01
9.949599999999999511e+01,-1.813203987129379802e-01,-1.818849999999999911e-01
9.950400000000000489e+01,-1.782856483229057765e-01,-1.798099999999999976e-01
9.951200000000000045e+01,-1.750043639638885207e-01,-1.752930000000000044e-01
9.951999999999999602e+01,-1.714799328653126842e-01,-1.726070000000000104e-01
9.952800000000000580e+01,-1.677161832740579062e-01,-1.694340000000000013e-01
9.953600000000000136e+01,-1.637173775619180094e-01,-1.638179999999999914e-01
9.954399999999999693e+01,-1.594882045407309268e-01,-1.622309999999999863e-01
9.955199999999999250e+01,-1.550337709992928026e-01,-1.547850000000000059e-01
9.956000000000000227e+01,-1.503595924775167625e-01,-1.512449999999999906e-01
9.956800000000001205e+01,-1.454715832945093212e-01,-1.458740000000000037e-01
9.957599999999999341e+01,-1.403760458490028173e-01,-1.406250000000000000e-01
9.958400000000000318e+01,-1.350796592114331118e-01,-1.347659999999999969e-01
9.959199999999999875e+01,-1.295894670287068839e-01,-1.292719999999999980e-01
9.959999999999999432e+01,-1.239128647634777231e-01,-1.230470000000000036e-01
