time_us,captured_v
4.157600000000000051e+01,2.027589999999999948e-01
4.158400000000000318e+01,1.711429999999999896e-01
4.159199999999999875e+01,1.505130000000000079e-01
4.160000000000000142e+01,1.984859999999999958e-01
4.160799999999999699e+01,2.060549999999999882e-01
4.161599999999999966e+01,1.083979999999999944e-01
4.162400000000000233e+01,4.138200000000000212e-02
4.163199999999999790e+01,3.198199999999999654e-02
4.164000000000000057e+01,1.221000000000000080e-03
4.164799999999999613e+01,-2.441400000000000167e-02
4.165599999999999881e+01,-7.446000000000000361e-03
4.166400000000000148e+01,-4.785199999999999870e-02
4.167199999999999704e+01,-8.959999999999999909e-02
4.167999999999999972e+01,-8.276400000000000423e-02
4.168799999999999528e+01,-7.653799999999999493e-02
4.169600000000000506e+01,-8.142099999999999338e-02
4.170400000000000063e+01,-1.173099999999999976e-01
4.171200000000000330e+01,-1.191409999999999969e-01
4.171999999999999886e+01,-7.897899999999999365e-02
4.172799999999999443e+01,-6.091300000000000187e-02
4.173600000000000421e+01,-4.821799999999999697e-02
4.174399999999999977e+01,-6.030300000000000243e-02
4.175200000000000244e+01,-5.029299999999999743e-02
4.175999999999999801e+01,-2.551300000000000096e-02
4.176800000000000068e+01,-4.638999999999999894e-03
4.177600000000000335e+01,5.761700000000000155e-02
4.178399999999999892e+01,6.787100000000000077e-02
4.179200000000000159e+01,3.869600000000000123e-02
4.179999999999999716e+01,-4.150000000000000043e-03
4.180799999999999983e+01,-2.001999999999999960e-02
4.181600000000000250e+01,-3.100599999999999884e-02
4.182399999999999807e+01,-6.176800000000000346e-02
4.183200000000000074e+01,-5.871599999999999736e-02
4.183999999999999631e+01,-5.395500000000000296e-02
4.184800000000000608e+01,-2.941900000000000071e-02
4.185600000000000165e+01,-2.978499999999999898e-02
4.186399999999999721e+01,-5.078099999999999975e-02
4.187199999999999989e+01,-3.308099999999999929e-02
4.187999999999999545e+01,-1.343000000000000010e-03
4.188800000000000523e+01,4.260300000000000198e-02
4.189600000000000080e+01,6.836000000000000063e-03
4.190399999999999636e+01,-2.160600000000000021e-02
4.191199999999999903e+01,1.977500000000000091e-02
4.192000000000000171e+01,-2.001999999999999960e-02
4.192800000000000438e+01,-1.770000000000000046e-02
4.193599999999999994e+01,4.125999999999999807e-02
4.194399999999999551e+01,3.808600000000000180e-02
